Disparado?;Jornada;Activity name / Taxonomia;Canal;Data de Disparo;Data Fim;Safra;BU;Parceiro;SIGLA;Segmento;SIGLA;Subgrupos;Base Total;Base Acionável;% Otimização de base;Etapa de aquisição;Ordem de disparo;Perfil de Crédito;Produto;Oferta;Promocional;SIGLA;Oferta 2;Promocional 2;Custo Unitário Oferta;Custo Total da Oferta;Custo unitário do canal;Custo total canal;Taxa de Entrega;Taxa de Abertura ;Taxa de Clique;Taxa de Proposta;Taxa de Aprovação;Taxa de Finalização;Taxa de Conversão;Custo Total Campanha;CAC;Cartões Gerados;Aprovados;Propostas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_AQUISICAO_PLURIX_RFV_SUPERPÃO_SEMANA1;afz_aqs_pao_reg_cart_email_rfvfreq+rec2_diario;E-mail;27/05/2025;29/05/2025;mai/25;Plurix;N/A;N/A;CRM;CRM;Frequentes;5204;2205;42,37%;Aquisicao;1;Pre_analisado;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,001;R$ 1,91;42%;N/A;N/A;0,00%;0,00%;0,00%;0,00%;R$ 1,91;R$ 0,00;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_AQUISICAO_PLURIX_RFV_SUPERPÃO_SEMANA1;afz_aqs_pao_reg_cart_email_rfvnovoexp2_diario;E-mail;27/05/2025;29/05/2025;mai/25;Plurix;N/A;N/A;CRM;CRM;Novos;1188;406;34,18%;Aquisicao;1;Pre_analisado;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,001;R$ 0,35;34%;N/A;N/A;0,00%;0,00%;0,00%;0,00%;R$ 0,35;R$ 0,00;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_VC_AQUISICAO_MAISAMIGO_TOMBAMENTO_DM_BOA_AVENIDA_A_ONDA1;afz_car_vis_reg_wpp_ami_aqsmaisamigo_boa_id1_diario;WhatsApp;04/06/2025;06/06/2025;jun/25;Plurix;N/A;N/A;Cartonistas;CT;Ativo;2183;1669;76,45%;Aquisicao;1;Pre_analisado;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,420;R$ 700,98;76%;N/A;N/A;5,63%;93,62%;80,85%;4,55%;R$ 700,98;R$ 9,22;76;88;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_VC_AQUISICAO_MAISAMIGO_TOMBAMENTO_DM_BOA_AVENIDA_A_ONDA1;afz_car_vis_reg_wpp_ami_aqsmaisamigo_avenida_id1_diario;WhatsApp;04/06/2025;06/06/2025;jun/25;Plurix;N/A;N/A;Cartonistas;CT;Ativo;654;616;94,19%;Aquisicao;1;Pre_analisado;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,420;R$ 258,72;94%;N/A;N/A;10,55%;92,31%;75,38%;7,95%;R$ 258,72;R$ 5,28;49;60;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_AQUISICAO_CARRINHO_PLURIX_+AMIGO_JUNHO;afz_aqs_car_reg_cart_wpp_carrinho_abandonado_junho_pontual;WhatsApp;06/06/2025;08/06/2025;jun/25;Plurix;N/A;N/A;Abandonados;ABD;N/A;507;385;75,94%;Meio_de_Funil;1;Mar_aberto;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,420;R$ 161,70;76%;N/A;N/A;1,82%;57,14%;14,29%;0,26%;R$ 161,70;R$ 161,70;1;4;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_VC_AQUISICAO_MAISAMIGO_TOMBAMENTO_DM_BOA_AVENIDA_A_ONDA1_RPK;afz_car_vis_reg_wpp_ami_aqsmaisamigo_boa_id1_diario_rpk;WhatsApp;09/06/2025;11/06/2025;jun/25;Plurix;N/A;N/A;Cartonistas;CT;Ativo;1898;1366;71,97%;Aquisicao;1;Pre_analisado;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,420;R$ 573,72;72%;N/A;N/A;2,56%;94,29%;71,43%;1,83%;R$ 573,72;R$ 22,95;25;33;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_VC_AQUISICAO_MAISAMIGO_TOMBAMENTO_DM_BOA_AVENIDA_A_ONDA1_RPK;afz_car_vis_reg_wpp_ami_aqsmaisamigo_avenida_id1_diario_rpk;WhatsApp;09/06/2025;11/06/2025;jun/25;Plurix;N/A;N/A;Cartonistas;CT;Ativo;537;487;90,69%;Aquisicao;1;Pre_analisado;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,420;R$ 204,54;91%;N/A;N/A;4,11%;85,00%;70,00%;2,87%;R$ 204,54;R$ 14,61;14;17;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_VC_AQUISICAO_MAISAMIGO_COMPRADORES_LEAL_2405_2805;afz_car_vis_reg_wpp_ami_aqsmaisamigo_avenida_id1_diario_rpk;WhatsApp;10/06/2025;12/06/2025;jun/25;Plurix;N/A;N/A;CRM;CRM;Leais;7803;6982;89,48%;Aquisicao;1;Pre_analisado;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,420;R$ 2.932,44;89%;N/A;N/A;0,99%;66,67%;42,03%;0,42%;R$ 2.932,44;R$ 101,12;29;46;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_AQUISICAO_CARRINHO_PLURIX_+AMIGO_JUNHO_2;afz_aqs_car_reg_cart_wpp_carrinho_abandonado_junho_2_pontual;WhatsApp;13/06/2025;15/06/2025;jun/25;Plurix;N/A;N/A;Abandonados;ABD;N/A;1022;746;72,99%;Meio_de_Funil;1;Mar_aberto;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,420;R$ 313,32;73%;N/A;N/A;0,54%;50,00%;0,00%;0,00%;R$ 313,32;R$ 0,00;0;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_VC_AQUISICAO_MAISAMIGO_TOMABAMENTO_DM_AINDA_N_ACIONADOS;afz_aqs_reg_cart_wpp_disparo_nao_acionados_dm;WhatsApp;25/06/2025;27/06/2025;jun/25;Plurix;N/A;N/A;Cartonistas;CT;Ativo;5763;4814;83,53%;Aquisicao;1;Pre_analisado;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,420;R$ 2.021,88;84%;N/A;N/A;6,73%;72,22%;59,26%;3,99%;R$ 2.021,88;R$ 10,53;192;234;324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_AQUISICAO_B2C_SABADO_WPP_A_B;afz_car_vis_pon_wpp_car_aqssabados_a_diario;WhatsApp;05/07/2025;07/07/2025;jul/25;B2C;Proprietaria;PROPRI;Abandonados;ABD;N/A;255;0;0,00%;Meio_de_Funil;1;Mar_aberto;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,420;R$ 0,00;0%;N/A;N/A;0,00%;0,00%;0,00%;#DIV/0!;R$ 0,00;R$ 0,00;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
